Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
188,The Adventures of Antoine Doinel: Love on the Run,false,http://www.netflix.com/Movie/Love_on_the_Run/718224,François Truffaut,France,,
189,The White Sheik,false,http://www.netflix.com/Movie/The_White_Sheik/60027198,Federico Fellini,Italy,1952,
190,Throne of Blood,false,http://www.netflix.com/Movie/Throne_of_Blood/60028182,Akira Kurosawa,Japan,1957,
191,Jubilee,false,http://www.netflix.com/Movie/Jubilee/60028142,Derek Jarman,United Kingdom,1978,
192,Coup de grâce,false,http://www.netflix.com/Movie/Coup_de_Grace/60028295,Volker Schlöndorff,Germany,1976,
193,Quai des Orfèvres,false,http://www.netflix.com/Movie/Quai_des_Orfevres/60028296,Henri-Georges Clouzot,France,1947,
194,Il Posto,false,http://www.netflix.com/Movie/Il_Posto/60028420,Ermanno Olmi,Italy,1961,
195,I fidanzati,false,http://www.netflix.com/Movie/I_Fidanzati/60028419,Ermanno Olmi,Italy,1962,
196,Hiroshima mon amour,false,http://www.netflix.com/Movie/Hiroshima_Mon_Amour/60028873,Alain Resnais,France,1959,
197,Night and Fog,false,http://www.netflix.com/Movie/Night_and_Fog/60028528,Alain Resnais,France,1955,
198,Ali: Fear Eats the Soul,false,http://www.netflix.com/Movie/Ali_Fear_Eats_the_Soul/60028416,Rainer Werner Fassbinder,Germany,1974,
199,Schizopolis,false,http://www.netflix.com/Movie/Schizopolis/60031725,Steven Soderbergh,United States,1996,
200,The Honeymoon Killers,false,http://www.netflix.com/Movie/The_Honeymoon_Killers/60029426,Leonard Kastle,United States,1970,
201,Umberto D.,true,http://www.netflix.com/Movie/Umberto_D./60029428,Vittorio De Sica,Italy,1952,
202,Indiscretion of an American Wife,true,http://www.netflix.com/Movie/Indiscretion_of_an_American_Wife/26213171,Vittorio De Sica,Italy,1953,
203,The BRD Trilogy,,,,,,
,,,,Rainer Werner Fassbinder,Germany,,
204,Lola,false,http://www.netflix.com/Movie/The_BRD_Trilogy_Lola/60030997,Rainer Werner Fassbinder,Germany,1981,203
205,The Marriage of Maria Braun,true,http://www.netflix.com/Movie/The_BRD_Trilogy_The_Marriage_of_Maria_Braun/60030338,Rainer Werner Fassbinder,Germany,1978,203
206,Veronika Voss,true,http://www.netflix.com/Movie/The_BRD_Trilogy_Veronika_Voss/60031001,Rainer Werner Fassbinder,Germany,1982,203
207,The Pornographers,false,http://www.netflix.com/Movie/The_Pornographers/60029427,Shohei Imamura,Japan,1966,
208,A Film Trilogy by Ingmar Bergman,,,,,,
,,,,,Sweden,,
209,Through a Glass Darkly,false,http://www.netflix.com/Movie/Through_a_Glass_Darkly/60029946,Ingmar Bergman,Sweden,1961,208
210,Winter Light,false,http://www.netflix.com/Movie/Winter_Light/60029948,Ingmar Bergman,Sweden,1962,208
211,The Silence,false,http://www.netflix.com/Movie/The_Silence/60029947,Ingmar Bergman,Sweden,1963,208
212,Ingmar Bergman Makes a Movie,false,,Vilgot Sjöman,Sweden,1962,208
213,Richard III ,true,http://www.netflix.com/Movie/Richard_III/60010827,Laurence Olivier,United Kingdom,1955,
214,The Devil and Daniel Webster,false,http://www.netflix.com/Movie/The_Devil_and_Daniel_Webster/60031002,William Dieterle,United States,1941,
215,Knife in the Water,true,http://www.netflix.com/Movie/Knife_in_the_Water/60031003,Roman Polanski,Poland,1962,
216,The Rules of the Game,true,http://www.netflix.com/Movie/The_Rules_of_the_Game/60033867,Jean Renoir,France,1939,
217,Tokyo Story,true,http://www.netflix.com/Movie/Tokyo_Story/60031727,Yasujiro Ozu,Japan,1953,
218,Le cercle rouge,true,http://www.netflix.com/Movie/Le_Cercle_Rouge/60031723,Jean-Pierre Melville,France,1970,
219,La Strada,true,http://www.netflix.com/Movie/La_Strada_Special_Edition/60032448,Federico Fellini,Italy,1954,
220,Naked Lunch,false,http://www.netflix.com/Movie/Naked_Lunch/60032450,David Cronenberg,Canada,1991,
221,Ikiru,true,http://www.netflix.com/Movie/Ikiru/60033661,Akira Kurosawa,Japan,1952,
222,Diary of a Country Priest,false,http://www.netflix.com/Movie/Diary_of_a_Country_Priest/60034263,Robert Bresson,France,1951,
223,Maîtresse,false,http://www.netflix.com/Movie/Maitresse/60034264,Barbet Schroeder,France,1973,
224,Pickup on South Street,false,http://www.netflix.com/Movie/Pickup_on_South_Street/60010783,Samuel Fuller,United States,1953,
225,Tunes of Glory,false,http://www.netflix.com/Movie/Tunes_of_Glory/60011494,Ronald Neame,United Kingdom,1960,
226,Onibaba,true,http://www.netflix.com/Movie/Onibaba/60034702,Kaneto Shindo,Japan,1964,
227,Le Corbeau,true,http://www.netflix.com/Movie/Le_Corbeau/60034706,Henri-Georges Clouzot,France,1943,
228,Salvatore Giuliano,false,http://www.netflix.com/Movie/Salvatore_Giuliano/60034874,Francesco Rosi,Italy,1961,
229,Scenes from a Marriage,false,http://www.netflix.com/Movie/Scenes_from_a_Marriage_Miniseries_Version/60036162,Ingmar Bergman,Sweden,1973,
230,3 Women,false,http://www.netflix.com/Movie/3_Women/60036707,Robert Altman,United States,1977,
231,The Testament of Dr. Mabuse,true,http://www.netflix.com/Movie/The_Testament_of_Dr._Mabuse/60037725,Fritz Lang,Germany,1933,
232,A Story of Floating Weeds / Floating Weeds,false,http://www.netflix.com/Movie/A_Story_of_Floating_Weeds/60036708,Yasujiro Ozu,Japan,,
233,Stray Dog,false,http://www.netflix.com/Movie/Stray_Dog/60037985,Akira Kurosawa,Japan,1949,
234,The Tin Drum,false,http://www.netflix.com/Movie/The_Tin_Drum/60028805,Volker Schlöndorff,Germany,1979,
235,The Leopard,false,http://www.netflix.com/Movie/The_Leopard_Italian_Version/60037956,Luchino Visconti,Italy,1963,
236,Mamma Roma,false,http://www.netflix.com/Movie/Mamma_Roma/70000939,Pier Paolo Pasolini,Italy,1962,
